CodeJeu|NomJeu|DateAchat|Emplacement|Marque|Annee_Edition|NbJoueurs|AgeJoueurs|Manque|TypeJeu|NbPieces|TempsJeu|EtatJeu|Descriptif1|Descriptif2|Descriptif3|LienImg|Commentaire|NbPoints|NiveauJeu|Classification|PrixEstimé|Auteur|Illustrateur|SurPlace|Contenu1|Contenu2
1174|4 tubes de lave colorée|09/11/2018|||||||3 sensoriel musique|1||neuf oct18|Après probablement une chutte (socles ébréchés), les 4 tubes de lave fuyaient.| | |C:\Ludopret\Annexes\Images\1174 4 tubes de lave colorée.PNG||1|||0|||N||
1175|crocodile en bois|08/11/2018||Hape|||||2 motricité globale|1||neuf oct18|taille XL pour motricité globale| | |C:\Users\Utilisateur\Documents\sauvegardes ludopret\photos pour ludoprêt ne pas supprimer ni déplacer\photos motricité globale\1175.jpg||1|||0|||N||
1176|La roue des émotions|08/11/2018||autrement dit|||||8 jeux symboliques et imitatio|1||neuf oct18|roue des émotions simplifiée pour enfants.| | |C:\Ludopret\Annexes\Images\1176 La roue des émotions.PNG||1|||0|||N||
1177|Autisme : j'accuse|12/11/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1177 Autisme  j'accuse.PNG||1|||0|||N||
1178|L'enfermement|12/11/2018||livre|||||7 aide autom assoc tps|1||||||C:\Ludopret\Annexes\Images\1178 L'enfermement.PNG||1|||0|||N||
1179|La boite à outils anxiété|12/11/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1179 La boîte à outils , Anxiété.PNG||1|||0|||N||
118|FICHES D'AUTO CORRECTION PRE LECTURE|27/05/2012||||||||0||||||C:\Ludopret\Annexes\Images\118 Fiches d'autocorrection pré-lecture.PNG||1|||0|||N||
1180|La boite à outils-TDA/H|12/11/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1180 La boîte à outils , TDA ,H.PNG||1|||0|||N||
1181|Le quotidien avec un enfant autiste|12/11/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1181 Le quotidien avec un enfant autiste.PNG||1|||0|||N||
1182|Keep Calm et réussis tes exams|12/11/2018||Eyrolles||||||1||||||C:\Ludopret\Annexes\Images\1182 Keep calm et réussis tes exams.PNG||1|||0|||N||
1183|Les émotions racontées aux enfants|12/11/2018||livre||||||1||||||C:\Ludopret\Annexes\Images\1183 Les émotions racontées aux enfants.PNG||1|||0|||N||
1184|Explose ton score au collège|12/11/2018||Belin||||||1||||||C:\Ludopret\Annexes\Images\1184 Exlpose ton score au collège.PNG||1|||0|||N||
1185|Mon enfant apprivoise ses sens|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1185 Mon enfant apprivoise ses sens.PNG||1|||0|||N||
1186|Le caca de qui?|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1186 La caca de qui..PNG||1|||0|||N||
1187|Tranche de vie d'une maman optimiste|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1187 Tranche de vie d'une maman optimiste.PNG||1|||0|||N||
1188|L'autisme expliqué aux non-autistes|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1188 L'autisme expliqué aux non autistes.PNG||1|||0|||N||
1189|Prendre soin par Snoezelen|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1189 Prendre soin par Snoezelen.PNG||1|||0|||N||
119|DICO MATIK|27/05/2012|||||||5 lang graph ecriture lecture|0||||||C:\Ludopret\Annexes\Images\119 Dico'Matik.PNG||1|||0|||N||
1190|Snoezelen: un monde de sens|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1190 Snoezelen Un monde de sens.PNG||1|||0|||N||
1191|Encyclopédie junior Hachette|09/11/2018|||||||upbility|1||neuf oct18|édition de 1991| | |C:\Ludopret\Annexes\Images\1191 Encyclopédie Junior Hachette.PNG||1|||0|||N||
1192|Jeu et développement chez le jeune enfant|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1192 Jeu et développement chez le jeune enfant.PNG||1|||0|||N||
1193|L'esprit absorbant de l'enfant|09/11/2018|||||||upbility|1||neuf oct18||||C:\Ludopret\Annexes\Images\1193 L'esprit absrbant de l'enfant.PNG||1|||0|||N||
1194|J'ai tout essayé|12/11/2018||livre||||||1||don oct18||||C:\Ludopret\Annexes\Images\1194 J'ai tout essayé.PNG||1|||6,5|||N||
1195|Il n'y a pas de parent parfait|12/11/2018||Living and learning||||||1||don oct18||||C:\Ludopret\Annexes\Images\1195 Il n'y a pas de parent parfait.PNG||1|||6,5|||N||
1196|enzo apprend à nager|12/11/2018||livre||||||1||don oct18||||C:\Ludopret\Annexes\Images\1196 Enzo apprend à nager.PNG||1|||5|||N||
1197|wordworld le monde des mots|12/11/2018||||||||1||don oct18||||C:\Ludopret\Annexes\Images\1197 Wordword Le monde des mots.PNG||1|||4|||N||
1198|arbre à pétales en bois|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|4 pétales de bois sur un socle.| | |C:\Ludopret\Annexes\Images\1198 L'arbre à pétales.PNG||1|||0|||N||
1199|baril de 128 dinosaures de triage|08/11/2018||Alkor|||||7 aide autom assoc tps|1||neuf oct18||||C:\Ludopret\Annexes\Images\1199 Rack de dinosaures.PNG||1|||0|||N||
12|Puzzle moutons en 3d|27/05/2012||inconnu|||||1 motricité fine encast puzzle|0||don sept19|24 pièces.| | |C:\Ludopret\Annexes\Images\12 - puzzle moutons.jpg||1|||5|||N||
120|GEOPLANS|27/05/2012|||||||6 mathématiques|0||||||C:\Ludopret\Annexes\Images\120 Géoplans.PNG||1|||0|||N||
1200|lot de deux pinces de tri|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|violette et rouge.| | |C:\Ludopret\Annexes\Images\1200 Lot de 2 pinces de tri (violet et rouge).PNG||1|||0|||N||
1201|lot de deux pinces de tri|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|jaune et verte.| | |C:\Ludopret\Annexes\Images\1201 Lot de 2 pinces de tri (jaune et vert).PNG||1|||0|||N||
1202|lot de deux pinces de tri|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|jaune et verte.| | |C:\Ludopret\Annexes\Images\1202 Lot de 2 pinces de tri (jaune et vert).PNG||1|||0|||N||
1203|lot de deux pinces de tri|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|en plastique, bleu et orange.| | |C:\Ludopret\Annexes\Images\1203 Lot de 2 pinces de tri (Bleu et orange).PNG||1|||0|||N||
1204|lot de deux pinces de tri|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18|orange et violet.| | |C:\Ludopret\Annexes\Images\1204 Lot de 2 pinces de tri (orange et violet).PNG||1|||0|||N||
1205|lot de deux pinces de tri|08/11/2018|||||||1 motricité fine encast puzzle|1||neuf oct18||||C:\Ludopret\Annexes\Images\1205 Lot de 2 pinces de tri (bleu et rouge).PNG||1|||0|||N||
1206|set de3 tubes à bulles|08/11/2018||Tickit|||||3 sensoriel musique|1||neuf oct18|Remis en service en oct 2021. Il ne reste plus que 2 tubes en bon état sur 4? A préciser aux adhérents lors de l'emprunt.| | |C:\Ludopret\Annexes\Images\1206 Spiral tubes set.PNG||1|||0|||N||
1207|Toobaloo|08/11/2018|||||||3 sensoriel musique|1||neuf oct18|de la forme d'un téléphone, aide à mieux s'entendre, articuler, contrôler le timbre de la voix.| | |C:\Ludopret\Annexes\Images\1207 Toobaloo.PNG||1|||0|||N||
